0	/location/location/contains
1	/people/person/nationality
2	/people/person/place_of_birth
3	/people/deceased_person/place_of_death
4	/people/person/place_lived
5	/business/company/founders
6	/people/person/ethnicity
7	/location/neighborhood/neighborhood_of
8	/business/person/company
9	/location/administrative_division/country
10	/business/company/place_founded
11	/location/country/administrative_divisions
12	/location/country/capital
13	/people/person/children
14	/sports/sports_team/location
15	/sports/sports_team_location/teams
16	/people/person/religion
17	/people/ethnicity/people
18	/business/company/major_shareholders
19	/people/ethnicity/geographic_distribution
20	/business/company_shareholder/major_shareholder_of
21	/business/company/industry
22	/people/person/profession
23	/business/company/advisors
